"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Molecular Sequence Numbers","Chemicals/CAS","Tradenames","Manufacturers","Funding Details","Funding Texts","References","Correspondence Address","Editors","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Lewenstein M.","Lewenstein, M. (7006744532)","7006744532","Quantum perceptrons","1994","Journal of Modern Optics","41","12","","2491","2501","10","36","10.1080/09500349414552331","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0343663305&doi=10.1080%2f09500349414552331&partnerID=40&md5=211ad62461780d5fc4c76895891918c6","Service des Photons, Atomes, et Molecules, Centre d'Etudes de Saclay, Gif-sur-Yvette, Cedex, 91191, France; Joint Institute for Laboratory Astrophysics, University of Colorado and National Institute of Standards and Technology, Boulder, CO, 80309-0440, United States","Lewenstein M., Service des Photons, Atomes, et Molecules, Centre d'Etudes de Saclay, Gif-sur-Yvette, Cedex, 91191, France, Joint Institute for Laboratory Astrophysics, University of Colorado and National Institute of Standards and Technology, Boulder, CO, 80309-0440, United States","I formulate a statistical theory of quantum perceptrons, i.e. ideal quantum computing elements that process input states into output states through unitary transforms. © 1994, Taylor & Francis Ltd.","","","","","","","","","Landauer R., Phys. Today, 23, (1991); Benioff P., J. Statist. Phys., 22, (1980); Deutsch D., Proc. Roy. Soc. Lond. A, 400, (1985); Feynman R.P., Int. J. Theoret. Phys., 21, (1982); Bennett C.H., IBMJ. Res. Devel., 17, (1973); Margolus N., Ann. N. Y. Acad. Sci., 480, (1986); Zurek W.H., Phys. Rev. Lett., 53, (1984); Peres A., Phys. Rev. A, 32, (1985); Lloyd S., Phys. Rev. Lett., 71, (1993); Deutsch D., Jozsa R., Proc. Roy. Soc. Lond. A, 439, (1992); Bernstein E., Vazirani U., A. C. M. Symp. Theory of Computing, (1993); Berthiaume A., Brassard G., Seventh IEEE Conference on Structure in Complexity Theory, (1993); Bennett C.H., Nature, 362, (1993); In Contrast, the 'Balanced' Boolean Functions Fulfil F(X) = 0 for Exactly Half of X's, and F(X) = I for the Other Half; Bennett C.H., Brassard G., SIGACT News, 20, (1989); Wiesner S., SIGACT News., 15, (1983); Bennett C.H., Bessette F., Brassard G., Salvail L., Smolin J., J. Cryptology, 5, (1992); Ekert A.K., Phys. Rev. Lett., 67, (1991); Bennett C.H., Brassard G., Mermin N.D., Phys. Rev. Lett., 68, (1992); Bennett C.H., Phys. Rev. Lett., 68, (1992); Ekert A.K., Rarity J.G., Tapster P.R., Palma G.M., Phys. Rev. Lett., 69, (1992); Mandel P., Quantum Optics, Proceedings of the Xxth Solvay Conference of Physics, Phys. Rep., 219, 3-6, (1992); Glauber R.J., Quantum Optics and Electronics, (1965); Grochmalicki J., Lewenstein M., Phys. Rep., 208, (1991); Kimble H.J., Walls D.F., J. Opt. Soc. Am. B, (1987); Loudon R., Knight P.L., J. Mod. Optics, (1987); Kimble H.J., Phys. Rep., 219, (1992); Einstein A., Podolsky B., Rosen N., Phys. Rev., 47, (1935); Aspect A., Grangier P., Roger G., Phys. Rev. Lett., 49, (1982); Aspect A., Dalibard J., Roger G., Phys. Rev. Lett., 49, (1982); Fabre C., Phys. Rep., 219, (1992); Meystre P., Phys. Rep., 219, (1992); Walther H., Phys. Rep., 219, (1992); Filipowicz P., Javanainen J., Meystre P., Optics Commun., 58, (1986); Davidovich L., Maali A., Brune M., Raimond J.M., Haroche S., Phys. Rev. Lett., (1993); Wheeler J.A., Zurek W.H., Quantum Theory and Measurements, (1983); Minsky M., Papert S., Preceptrons, (1969); Amit D.J., Modelling Brain Function: The World of Attractor Neural Networks, (1989); Muller B., Reinhard J., Neural Networks-An Introduction, (1990); Watkin T.L.H., Rau A., Biehl M., Rev. Mod. Phys., 65, (1993); Gardner E., J. Phys. A, 21, (1988); Cover T.M., IEEE Trans. Electron. Comput., 14, (1965); Willshaw D.J., Buneman O.P., Longuet-Higgins H.C., Nature, 222, (1969); Lewenstein M., Tarkowski W., Phys. Rev. A, 46, (1992); Rumelhart D.E., McClelland J.L., Parallel Distributed Processing: Explorations in Microstructure of Cognition, (1986); Reck M., Zeilinger A., Bernstein H.J., Bertani P., Phys. Rev. Lett., 73, (1994); Ekert A., (1992); Mezard M., Parisi G., Virasoro M.A., Spin Glass Andbeyond, (1987); Porter C.E., Statistical Theory of Spectra, Fluctuations, (1965); Haake F., Quantum Signatures of Chaos, (1991)","","","","","","","","","09500340","","","","English","J. Mod. Opt.","Article","Final","","Scopus","2-s2.0-0343663305"
"Barenco A.","Barenco, Adriano (6603297228)","6603297228","Quantum physics and computers","1996","Contemporary Physics","37","5","","375","389","14","129","10.1080/00107519608217543","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040304693&doi=10.1080%2f00107519608217543&partnerID=40&md5=0e0e2e782e6e63a31e5b68ccab8a7b96","Clarendon Laboratory, University of Oxford, Oxford, OX1 3PU, Parks Road, United Kingdom","Barenco A., Clarendon Laboratory, University of Oxford, Oxford, OX1 3PU, Parks Road, United Kingdom","Recent theoretical results confirm that quantum theory provides the possibility of new ways of performing efficient calculations. The most striking example is the factoring problem. It has recently been shown that computers that exploit quantum features could factor large composite integers. This task is believed to be out of reach of classical computers as soon as the number of digits in the number to factor exceeds a certain limit. The additional power of quantum computers comes from the possibility of employing a superposition of states, of following many distinct computation paths and of producing a final output that depends on the interference of all of them. This ‘quantum parallelism’ outstrips by far any parallelism that can be thought of in classical computation and is responsible for the ‘exponential’ speed-up of computation. Experimentally, however, it will be extremely difficult to ‘decouple’ a quantum computer from its environment. Noise fluctuations due to the outside world, no matter how little, are sufficient to drastically reduce the performance of these new computing devices. To control the nefarious effects of this environmental noise, one needs to implement efficient error-correcting techniques. © 1996, Taylor & Francis Group, LLC.","","","","","","","","","Landauer R., IBM J. Res. Dev., 5, (1961); Bennett C.H., IBM J. Res. Dev., 17, (1973); Bennett C.H., Int. J. Theor. Phys., 21, (1982); Bennett C.H., SIAM J. Comput., 18, 4, (1989); Deutsch D., Proc. R. Soc. London A, 400, (1985); Shor P.W., Proceedings of the 35th Annual Symposium on the Foundations of Computer Science, (1994); Rivest R., Shamir A., Adleman L., On Digital Signatures and Public-Key Cryptosystems, (1979); Welsh D., Codes and Cryptography, (1988); Wilf H.S., Algorithms and Complexity, (1986); Lenstra A.K., Lenstra H.W., Manasse M.S., Pollar J.M., Proceedings of the 22nd ACM Symposium on the Theory of Computing, (1990); Knuth D.E., The Art of Computer Programming, Volume 2: Seminumerical Algorithms, (1981); Schumacher B., Phys. Rev. A, 51, (1995); Holevo A.S., Problemy Peredachi Informatsii, 9, (1979); Davies E.B., IEEE Trans. Inform. Theory, IT24, (1978); Fuchs C.A., Caves C.M., Phys. Rev. Lett., 73, (1994); Wiesner S., Sigact News, 15, 1, (1983); Bennett C.H., Brassard G.; Ekert A., Phys. Rev. Lett., 67, (1991); Hughes R.J., Alde D.M., Dyer P., Luther G.G., Morgan G.L., Schauer M., Contemp. Phys., 36, (1995); Phoenix S.J.D., Townsend P.D., Contemp. Phys., 36, (1995); Bennett C.H., Brassard G., Crepeau C., Jozsa R., Peres A., Wootters W.K., Phys. Rev. Lett., 70, (1993); Bennett C.H., Wiesner S., Phys. Rev. Lett., 69, (1992); Peres A., Quantum Theory: Concepts and Methods, (1993); Vedral V., Barenco A., Ekert A., Phys. Rev. A, (1996); Hardy G.H., Wright E.M., An Introduction to the Theory of Numbers, (1965); Miller G.L., Computer Sci., 13, (1976); Ekert A., Jozsa R., Rev. Mod. Phys., (1996); Deutsch D., Proc. R. Soc. london A, 425, (1989); Margolus N., Complexity, Entropy, and the Physics of Information, (1990); Biafore M., (1993); Barenco A., Proc. R. Soc. London A, 449, (1995); Di Vincenzo D.P., Phys. Rev. A, 50, (1995); Sleator T., Weinfurter H., Phys. Rev. Lett., 74, (1995); Deutsch D., Barenco A., Ekert A., Proc. R. Soc. London A, 449, (1995); Lloyd S., Phys. Rev. Lett., 75, (1995); Barenco A., Bennett C.H., Cleve R., Di Vencenzo D.P., Margolus N., Shor P., Sleator T., Smolin J., Weinfurter H., Phys. Rev. A, 52, (1995); Smolin J.A., Di Vencenzo D.P., Five Two-Bit Quantum Gates are Sufficient to Implement the Quantum Fredkin Gate, (1995); Coppersmith D., (1994); Barenco A., Ekert A., Torma P., Suominen K.-A., Phys. Rev. A, (1996); Brune M., Nussenzveig P., Schmidt-Kaler F., Bernardot F., Maali A., Raimond J.M., Haroche S., Phys. Rev. Lett., 72, (1994); Barenco A., Deutsch D., Ekert A., Jozsa R., Phys. Rev. Lett., 74, (1995); Cirac J.I., Zoller P., Phys. Rev. Lett., 74, (1995); Turchette Q.A., Hood C.J., Lange W., Mabuchi H., Kimble H.J., Phys. Rev. Lett., 75, (1995); Cohen-Tannoudji C., Diu B., Laloe F., Quantum Mechanics, (1977); Devoret M.; Zurek W.H., Physics Today, 44, 10, (1991); Unruh W.G., Phys. Rev. A, 51, (1995); Palma G.M., Suominen K.-A., Ekert A., Proc. R. Soc. London A, (1995); Barnett S.M., Knight P.L., Phys. Rev. A, 33, (1986); Plenio M., Knight P.L., Phys. Rev. A, 53, (1996); Monroe C., Meekhof D.M., King B.E., Itano W.M., Wineland D.J., Phys. Rev. Lett., 75, (1995); Di Vincenzo D., Phys. Rev. A, 50, (1995); Steane A., Proc. R. Soc. London A, (1996); Calderbank A.R., Shor P.W.; Shor P.W., Phys. Rev. A, 52, (1995)","","","","","","","","","00107514","","","","English","Contemp Phys.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-0040304693"
"Franson J.D.","Franson, J.D. (7005564851)","7005564851","Quantum cryptography","1995","Optics and Photonics News","6","3","","30","33","3","4","10.1364/OPN.6.3.000030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029276834&doi=10.1364%2fOPN.6.3.000030&partnerID=40&md5=d491b7c57cef2d9ef481a9288ef069af","","","Quantum cryptography is a new technique for the transmission of secure communications. The earliest method for this technique employs a secret key to encrypt messages before transmission and to decipher them at their final destination. Another method establishes identical keys at two distant locations without transferring any information at all. This is performed using the nonlocal properties of two-photon interferometers. Another approach transmits the key in the form of single photons and relies on the quantum-mechanical uncertainty principle to prevent the possibility of eavesdropping.","","Communication channels (information theory); Computer networks; Errors; Interferometers; Interferometry; Optical variables measurement; Personal computers; Photons; Polarization; Quantum optics; Quantum theory; Security of data; Quantum computers; Quantum cryptography; Quantum measurement; Cryptography","","","","","","","","","","Optical Soc of America","","","","","","10476938","","OPPHE","","English","Opt Photonics News","Article","Final","","Scopus","2-s2.0-0029276834"
"Ridley-Jones A.","Ridley-Jones, A. (6506389478)","6506389478","Enterprise network in 2000","1995","IEE Conference Publication","","404","","55","59","4","0","10.1049/cp:19950111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029217628&doi=10.1049%2fcp%3a19950111&partnerID=40&md5=2213bdcc370755714891763a01eefddc","Logica UK Ltd, United Kingdom","Ridley-Jones A., Logica UK Ltd, United Kingdom","By the turn of the century, it is foreseen that enterprise will have an integrated single service provider, providing not only basic network connectivity but additional capability to rapidly create and deploy new services. Enterprise-specific applications will need to be integrated directly into the supporting networks. Choice of services, based on basic and then additional facilities and services offered, will be key selection parameters for enterprises. Services will be cheaper for the enterprise, while for the device provider, it will become more costly to provide the required complexity. Price will no longer be a differentiator, service will. Increased competition, all providing very similar services, will result in low margins. The purpose of this paper is to outline the technology that will affect an enterprise at the turn of the decade.","","Algorithms; Application specific integrated circuits; Asynchronous transfer mode; Computer applications; Data communication systems; Data compression; Integrated circuits; Local area networks; Technological forecasting; Teleconferencing; Voice/data communication systems; Wide area networks; Enterprise network; Flat screen technology; Quantum computers; Security algorithms; Switched multi megabit data service; Value added networks; Virtual private networks; Telecommunication networks","","","","","","","","","","IEE","IEE","Proceedings of the 5th IEE Conference on Telecommunications","26 March 1995 through 29 March 1995","Brighton, UK","43019","05379989","","IECPB","","English","IEE Conf Publ","Conference paper","Final","","Scopus","2-s2.0-0029217628"
"Hughes R.J.; James D.F.V.; Knill E.H.; Laflamme R.; Petschek A.G.","Hughes, Richard J. (7404305537); James, Daniel F. V. (7401733331); Knill, Emanuel H. (57204372419); Laflamme, Raymond (56234046800); Petschek, Albert G. (6507981725)","7404305537; 7401733331; 57204372419; 56234046800; 6507981725","Decoherence bounds on quantum computation with trapped ions","1996","Physical Review Letters","77","15","","3240","3243","3","83","10.1103/PhysRevLett.77.3240","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4243749278&doi=10.1103%2fPhysRevLett.77.3240&partnerID=40&md5=ffbc10402f9988a04a04287c0adeafc0","University of California, Los Alamos National Laboratory, Los Alamos, NM, 87545, United States","Hughes R.J., University of California, Los Alamos National Laboratory, Los Alamos, NM, 87545, United States; James D.F.V., University of California, Los Alamos National Laboratory, Los Alamos, NM, 87545, United States; Knill E.H., University of California, Los Alamos National Laboratory, Los Alamos, NM, 87545, United States; Laflamme R., University of California, Los Alamos National Laboratory, Los Alamos, NM, 87545, United States; Petschek A.G., University of California, Los Alamos National Laboratory, Los Alamos, NM, 87545, United States","Using simple physical arguments we investigate the capabilities of a quantum computer based on cold trapped ions. From the limitations imposed on such a device by spontaneous decay, laser phase coherence, ion heating, and other sources of error, we derive a bound between the number of laser interactions and the number of ions that may be used. The largest number which may be factored using a variety of species of ion is determined. © 1996 The American Physical Society.","","","","","","","","","Deutsch D., Proc. R. Soc. London Sect. A, 425, pp. 73-90, (1989); Ekert A.K., Atomic Physics 14, 323, pp. 450-466, (1995); Shor P.W., Proceedings of the 35Th Annual Symposium on the Foundations of Computer Science; Domokos P., Phys. Rev. A, 52, (1995); Turchette Q.A., Phys. Rev. Lett, 75, (1995); Monroe C., Phys. Rev. Lett, 75, (1995); Cirac J.I., Zoller P., Phys. Rev. Lett, 74, (1995); Sauter T.H., Phys. Rev. Lett, 57, (1986); Monroe C., Phys. Rev. Lett, 75, (1995); Meekhof D.M., Phys. Rev. Lett, 76, (1996); Unruh W.G., Phys. Rev. A, 51, pp. 992-997, (1995); Landauer R., Philos. Trans. R. Soc. London A, 353, (1995); Born M., Wolf E., Principles of Optics, (1980); Bell A.S., J. Mod. Opt, 39, (1992); Plenio M.B., Knight P.L., Phys. Rev. A, 53, (1996); Plenio M.B., Knight P.L.; Dietrich F., Phys. Rev. Lett, 62, (1989); Hamilton M.W., Contemp. Phys, 30, (1989); Zurek W.H., Phys. Rev. Lett, 53, (1984); Chuang I.L., Laflamme R., Shor P., Zurek W.H., Science, 270, (1995); Miquel C., Paz J.P., Perazzo R., Factoring in a Dissipative Quantum Computer; Haroche S., Raimond J.-M., Phys. Today, 49, 8, (1996)","","","","","","","","","00319007","","","","English","Phys Rev Lett","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-4243749278"
"Pellizzari T.; Gardiner S.A.; Cirac J.I.; Zoller P.","Pellizzari, T. (6602903663); Gardiner, S.A. (7102061780); Cirac, J.I. (24773004400); Zoller, P. (7103338931)","6602903663; 7102061780; 24773004400; 7103338931","Decoherence, continuous observation, and quantum computing: A cavity QED model","1995","Physical Review Letters","75","21","","3788","3791","3","766","10.1103/PhysRevLett.75.3788","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000328947&doi=10.1103%2fPhysRevLett.75.3788&partnerID=40&md5=8714fada4fd8c103094f57712aecfe3d","Institut für Theoretische Physik, Universität Innsbruck, 6020 Innsbruck, Austria; Departamento de Fisica, Universidad de Castilla-La Mancha, 13071 Cuidad Real, Spain","Pellizzari T., Institut für Theoretische Physik, Universität Innsbruck, 6020 Innsbruck, Austria; Gardiner S.A., Institut für Theoretische Physik, Universität Innsbruck, 6020 Innsbruck, Austria; Cirac J.I., Institut für Theoretische Physik, Universität Innsbruck, 6020 Innsbruck, Austria, Departamento de Fisica, Universidad de Castilla-La Mancha, 13071 Cuidad Real, Spain; Zoller P., Institut für Theoretische Physik, Universität Innsbruck, 6020 Innsbruck, Austria","We use the theory of continuous measurement to analyze the effects of decoherence on a realistic model of a quantum computer based on cavity QED. We show how decoherence affects the computation, and methods to prevent it. © 1995 The American Physical Society.","","","","","","","","","Ekert A., Proceedings of the 14th International Conference on Atomic Physics, (1995); Greenberger D.M., Et al., Bell’s theorem without inequalities, American Journal of Physics, 58, (1990); Wineland D.J., Et al., Phys. Rev. A, 50, (1994); Wineland D.J., Et al., Phys. Rev. A, 46, (1992); Shor P., Proceedings of the 35th Annual Symposium on Foundations of Computer Science, (1994); Barenco A., Et al., Phys. Rev. Lett., 74, (1995); Sleator T., Weinfurter H., Phys. Rev. Lett., 74, (1995); DiVincenzo D.P., Phys. Rev. A, 51, (1995); Domokos P., Et al.; Cirac J.I., Zoller P., Phys. Rev. Lett., 74, (1995); Landauer R., Proceedings of the Royal Society of London; Unruh W.G., Phys. Rev. A, 51, (1995); Chuang I., Et al.; Palma G.M., Et al.; Barchielli A., Belavkin V.P., J. Phys. A, 24, (1991); Blatt R., Proceedings of the 14th International Conference on Atomic Physics, (1995); Parkins A.S., Et al., Phys. Rev. Lett., 71, (1993); Lawall J., Et al., Pushing Atoms with Darkness: Adiabatic Momentum Transfer, Optics and Photonics News, 5, (1994); Thompson R.J., Et al., Phys. Rev. Lett., 68, (1992); Mabuchi H., Kimble H.J., Opt. Lett., 19, (1994); Treussart F., Et al., Opt. Lett., 19, (1994); Morin S.E., Et al., Phys. Rev. Lett., 73, (1994); Pellizzari T., Et al.; Coppersmith D., (1994)","","","","","","","","","00319007","","","","English","","Article","Final","","Scopus","2-s2.0-0000328947"
"Appasamy B.; Stalgies Y.; Eschner J.; Neuhauser W.; Toschek P.E.","Appasamy, B. (6603081896); Stalgies, Y. (6602642282); Eschner, J. (7004081781); Neuhauser, W. (7005085434); Toschek, P.E. (7005665329)","6603081896; 6602642282; 7004081781; 7005085434; 7005665329","Stimulated emission and stochastic cooling of a single ion","1996","Technical Digest - European Quantum Electronics Conference","","","","82","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029767242&partnerID=40&md5=444d70c7f1790f9d3e0d3c096e2b692d","Universitaet Hamburg, Hamburg, Germany","Appasamy B., Universitaet Hamburg, Hamburg, Germany; Stalgies Y., Universitaet Hamburg, Hamburg, Germany; Eschner J., Universitaet Hamburg, Hamburg, Germany; Neuhauser W., Universitaet Hamburg, Hamburg, Germany; Toschek P.E., Universitaet Hamburg, Hamburg, Germany","The selective spectroscopic detection of a single ion and control of its center-of-mass motion are prerequisites for the ion's application as a frequency standard or a quantum computer. A single trapped barium ion has been irradiated by monochromatic laser light. Its fluorescence was detected and it was cooled down into the Lamb-Dicke regime far below the Doppler limit and with the help of electronic Raman excitation. Results of radiation by tunable laser and the comparison of the on-off rate with infrared (IR) tuning are presented.","","Barium; Doppler effect; Fluorescence; Ions; Laser tuning; Lasers; Light emission; Monochromators; Raman scattering; Resonance; Spectroscopy; Electronic Raman excitation; Stimulated emission; Stochastic cooling; Quantum optics","","","","","","","","","","","Europe Physical Society; Quantum Electronics & Optics Division; IEEE/LEOS; Optical Society of America; European Optical Society","Proceedings of the 1996 European Quantum Electronics Conference, EQEC'96","8 September 1996 through 13 September 1996","Hamburg, Ger","45464","","","00167","","English","Tech Dig Eur Quantum Electron Conf","Conference paper","Final","","Scopus","2-s2.0-0029767242"
"Berthiaume A.; Deutsch D.; Jozsa R.","Berthiaume, A. (6602602839); Deutsch, D. (7102664292); Jozsa, R. (7004414214)","6602602839; 7102664292; 7004414214","The stabilisation of quantum computations","1994","Proceedings Workshop on Physics and Computation, PhysComp 1994","","","363698","60","62","2","32","10.1109/PHYCMP.1994.363698","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947986986&doi=10.1109%2fPHYCMP.1994.363698&partnerID=40&md5=62f40777ed86f0174b47cb2f0dcd6df7","Département, IRO, Université de Montréal, Montréal, QC, Canada; Wolfson College, University of Oxford, Oxford, United Kingdom; School of Mathematics and Statistics, University of Plymouth, Plymouth, United Kingdom","Berthiaume A., Département, IRO, Université de Montréal, Montréal, QC, Canada; Deutsch D., Wolfson College, University of Oxford, Oxford, United Kingdom; Jozsa R., School of Mathematics and Statistics, University of Plymouth, Plymouth, United Kingdom","A quantum computer is a device capable of performing computational tasks that depend on characteristically quantum mechanical effects, in particular coherent quantum superposition. Such devices can efficiently perform classes of computation (e.g. factorisation) which are believed to be intractable on any classical computer. This makes it highly desirable to construct such devices. In this paper, we address the last remaining theoretical obstacle to such a construction, namely the problem of stability or error correction. This problem is more substantial in quantum computation than in classical computation because of the delicate nature of the interference phenomena on which quantum computation depends. We present a new, purely quantum mechanical method of error correction, which has no classical analogue, but can serve to stabilise coherent quantum computations. Like the classical methods, it utilises redundancy, but it does not depend on measuring intermediate results of the computation. © 1994 IEEE.","","Error correction; Quantum theory; Classical methods; Coherent quantum superposition; Computational task; Interference phenomena; Intermediate results; Quantum mechanical effects; Quantum mechanical method; Quantum computers","","","","","","","Berstein E., Vazirani U., Quantum complexity theory, Proc. 25th ACMSymp. on the Theory of Computation, pp. 11-20, (1993); Deutsch D., Quantum theory the church-turing principle and the universal quantum computer, Proc. R. Soc. Lond. A, 400, pp. 96-117, (1985); Deutsch D., Quantum computational networks, Proc. R. Soc. Lond. A, 425, pp. 73-90, (1989); Deutsch D., Jozsa R., Rapid solution of problems by quantum computation, Proc. R. Soc. Lond. A, 439, pp. 553-558, (1992); Feynman R., Simulating physics with computers, Int. J. Theor. Phys., 21, 6-7, pp. 467-468, (1982); Shor P.W., Algorithms for Quantum Computation: Discrete Log and Factoring, (1994); Simon D., On the Power of Quantum Computation, (1994)","","","Institute of Electrical and Electronics Engineers Inc.","","1994 Workshop on Physics and Computation, PhysComp 1994","17 November 1994 through 20 November 1994","Dallas","145262","","081866715X; 978-081866715-2","","","English","Proc. Workshop Phys. Comput., PhysComp","Conference paper","Final","","Scopus","2-s2.0-84947986986"
"Hotaling Steven P.","Hotaling, Steven P. (6602764665)","6602764665","Photon-spin interactions in condensed matter photonic systems: potential foundation for photonic quantum computing","1996","Proceedings of SPIE - The International Society for Optical Engineering","2749","","","34","46","12","1","10.1117/12.243112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029728557&doi=10.1117%2f12.243112&partnerID=40&md5=04b9c12acbdae87ccc288f143651f307","Rome Lab., Griffiss AFB, NY, USA, United States","Hotaling Steven P., Rome Lab., Griffiss AFB, NY, USA, United States","Photonic excitations of the electronic and nuclear spin system in a variety of photonic materials are proposed to serve as the foundation of a potential realization of a Photonic Quantum (mechanical) Computer (PQC). Quantum bits (q-bits) for this new class of computational architecture physically manifest themselves as spin states in the media. Spin interaction Hamiltonians are discussed corresponding to various spin interaction topologies. Quantum logics, algebras, and algorithms are discussed as potential PQC applications.","","Algorithms; Electronic properties; Nuclear properties; Photons; Quantum theory; Condensed matter photonic systems; Photon-spin interactions; Photonic quantum computing; Quantum logic; Optical data processing","","","","","","","","","","","SPIE - Int Soc for Opt Engineering, Bellingham, WA USA","Photonic Component Engineering and Applications","8 April 1996 through 9 April 1996","Orlando, FL, USA","22600","","0819421308; 978-081942130-2","PSISD","","English","Proc SPIE Int Soc Opt Eng","Conference paper","Final","","Scopus","2-s2.0-0029728557"
"Monroe C.; Meekhof D.M.; King B.E.; Itano W.M.; Leibfried D.; Wineland D.J.","Monroe, C. (57147060600); Meekhof, D.M. (6701564013); King, B.E. (7402688416); Itano, W.M. (7005352566); Leibfried, D. (57204234360); Wineland, D.J. (7006041778)","57147060600; 6701564013; 7402688416; 7005352566; 57204234360; 7006041778","Entangled states of trapped atoms for quantum logic and spectroscopy","1996","Conference on Quantum Electronics and Laser Science (QELS) - Technical Digest Series","9","","","1pp","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029695938&partnerID=40&md5=a6cc33072117585721a3afb150da94c6","NIST, Boulder, United States","Monroe C., NIST, Boulder, United States; Meekhof D.M., NIST, Boulder, United States; King B.E., NIST, Boulder, United States; Itano W.M., NIST, Boulder, United States; Leibfried D., NIST, Boulder, United States; Wineland D.J., NIST, Boulder, United States","A quantum computer is composed of quantum bits that can support superposition states and hence allow parallel processing for certain problems such as factorization. All quantum computations can, in principle, be reduced to a series of two-bit quantum logic gates accompanied by simple single-bit rotations. An example of a two-bit quantum logic gate is the controlled-NOT (CN) gate, which rotates one quantum bit by 180° dependent on the state of a second quantum bit. Operation of a two-bit CN quantum logic gate on a trapped ion is demonstrated in this paper.","","Atomic physics; Beryllium; Ions; Logic gates; Quantum electronics; Quantum theory; Raman scattering; Spectroscopy; Fock state of motion; Quantum bits; Quantum computer; Quantum logic; Quantum logic gates; Quantum noise; Quantum nonlocality; Quantum systems; Stimulated Raman transitions; Atoms","","","","","","","","","","IEEE","IEEE","Proceedings of the 1996 6th Quantum Electronics and Laser Science Conference, QELS","2 June 1996 through 7 June 1996","Anaheim, CA, USA","45084","","","00209","","English","Conf Quant Electron Laser Sci QELS Tech Dig Ser","Article","Final","","Scopus","2-s2.0-0029695938"
