"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Tong Y.; Chen Q.","Tong, Yao (58602275300); Chen, Quan (58600049900)","58602275300; 58600049900","Analytical Modeling of Multiple Co-Existing Inaccuracies in RF Controlling Circuits for Superconducting Quantum Computing","2023","IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems","","","","1","1","0","0","10.1109/TCAD.2023.3311732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171561433&doi=10.1109%2fTCAD.2023.3311732&partnerID=40&md5=33fa179ade3d17d0d73dd47635ff38a9","School of Microelectronics, Southern University of Science and Technology(SUSTech), Shenzhen, China","Tong Y., School of Microelectronics, Southern University of Science and Technology(SUSTech), Shenzhen, China; Chen Q., School of Microelectronics, Southern University of Science and Technology(SUSTech), Shenzhen, China","Quantum computers based on spin qubits and superconducting qubits require radio-frequency (RF) electronic circuits to control and read out the state. As the scale of the quantum processors increases, the inaccuracy in the RF circuit becomes an increasingly significant source of non-idealities that impacts the qubit operations. In this paper, we propose a closed-form model to characterize the effects of inaccuracies in the controlling RF circuits on the fidelity of single-qubit control operation of superconducting qubits. Different from previous works, our model allows characterization of multiple inaccuracies at the same time, significantly enhancing the guidance capabilities for practical quantum computing hardware design and optimization. In addition, the accuracy of the proposed model is also verified by a quantum-classical co-simulator. IEEE","Analytical models; co-simulation; Computational modeling; Integrated circuit modeling; Mathematical models; non-idealities; quantum computing; Qubit; qubit control; Radio frequency; Superconducting integrated circuits; superconducting qubit","Circuit simulation; Integrated circuits; Quantum computers; Quantum optics; Radio waves; Timing circuits; Computational modelling; Cosimulation; Integrated circuit modeling; Nonideality; Quantum Computing; Qubit control; Radio frequency circuit; Radiofrequencies; Superconducting integrated circuits; Superconducting qubits; Analytical models","","","","","Institute of Electrical and Electronics Engineers Inc.","02780070","","ITCSD","","English","IEEE Trans Comput Aided Des Integr Circuits Syst","Article","Article in press","","Scopus","2-s2.0-85171561433"
"Wu Y.; Wang Y.; Qin X.; Rong X.; Du J.","Wu, Yang (56979721300); Wang, Ya (24588138600); Qin, Xi (55375286000); Rong, Xing (35226709900); Du, Jiangfeng (7402575506)","56979721300; 24588138600; 55375286000; 35226709900; 7402575506","A programmable two-qubit solid-state quantum processor under ambient conditions","2019","npj Quantum Information","5","1","9","","","","41","10.1038/s41534-019-0129-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071744812&doi=10.1038%2fs41534-019-0129-z&partnerID=40&md5=7076b2cf1254aa20f15f128e6e3d1668","Hefei National Laboratory for Physical Sciences at the Microscale and Department of Modern Physics, University of Science and Technology of China, Hefei, 230026, China; CAS Key Laboratory of Microscale Magnetic Resonance, University of Science and Technology of China, Hefei, 230026, China; Synergetic Innovation Center of Quantum Information and Quantum Physics, University of Science and Technology of China, Hefei, 230026, China","Wu Y., Hefei National Laboratory for Physical Sciences at the Microscale and Department of Modern Physics, University of Science and Technology of China, Hefei, 230026, China, CAS Key Laboratory of Microscale Magnetic Resonance, University of Science and Technology of China, Hefei, 230026, China, Synergetic Innovation Center of Quantum Information and Quantum Physics, University of Science and Technology of China, Hefei, 230026, China; Wang Y., Hefei National Laboratory for Physical Sciences at the Microscale and Department of Modern Physics, University of Science and Technology of China, Hefei, 230026, China, CAS Key Laboratory of Microscale Magnetic Resonance, University of Science and Technology of China, Hefei, 230026, China, Synergetic Innovation Center of Quantum Information and Quantum Physics, University of Science and Technology of China, Hefei, 230026, China; Qin X., Hefei National Laboratory for Physical Sciences at the Microscale and Department of Modern Physics, University of Science and Technology of China, Hefei, 230026, China, CAS Key Laboratory of Microscale Magnetic Resonance, University of Science and Technology of China, Hefei, 230026, China, Synergetic Innovation Center of Quantum Information and Quantum Physics, University of Science and Technology of China, Hefei, 230026, China; Rong X., Hefei National Laboratory for Physical Sciences at the Microscale and Department of Modern Physics, University of Science and Technology of China, Hefei, 230026, China, CAS Key Laboratory of Microscale Magnetic Resonance, University of Science and Technology of China, Hefei, 230026, China, Synergetic Innovation Center of Quantum Information and Quantum Physics, University of Science and Technology of China, Hefei, 230026, China; Du J., Hefei National Laboratory for Physical Sciences at the Microscale and Department of Modern Physics, University of Science and Technology of China, Hefei, 230026, China, CAS Key Laboratory of Microscale Magnetic Resonance, University of Science and Technology of China, Hefei, 230026, China, Synergetic Innovation Center of Quantum Information and Quantum Physics, University of Science and Technology of China, Hefei, 230026, China","Quantum computers, which take advantage of the superposition and entanglement of physical states, could outperform their classical counterparts in solving problems with technological impact such as factoring large numbers and searching databases. A quantum processor executes algorithms by applying a programmable sequence of gates to an initialized state of qubits, which coherently evolves into a final state containing the result of the computation. Although quantum processors with a few qubits have been demonstrated on multiple quantum computing platforms, realization of solid-state programmable quantum processor under ambient conditions remains elusive. Here we report a programable quantum processor that can be programmed with fifteen parameters to realize arbitrary unitary transformations on two spin qubits in a nitrogen-vacancy (NV) center in diamond. We implemented the Deutsch-Jozsa and Grover search algorithms with average success rates above 80%. The results pave the way to implement the programmable method in a large-scale quantum processor. © 2019, The Author(s).","","Quantum optics; Qubits; Ambient conditions; Classical counterpart; Grover search algorithm; Nitrogen vacancies; Physical state; Quantum Computing; Quantum processors; Unitary transformations; Quantum entanglement","Chinese Academy of Sciences, CAS, (QYZDB-SSW-SLH005, QYZDY-SSW-SLH004); Ministry of Science and Technology of the People's Republic of China, MOST, (Grants 2018YFA0306600); National Key Research and Development Program of China, NKRDPC, (2016YFB0501603, 2018YFA0306600)","We are grateful to D. Suter for valuable discussion. This work was supported by the National Key R&D Program of China (Grants No. 2018YFA0306600 and No. 2016YFB0501603), the CAS (Grants No. QYZDY-SSW-SLH004 and No. QYZDB-SSW-SLH005). X.R. thanks the Youth Innovation Promotion Association of Chinese Academy of Sciences for their support.","X. Rong; Hefei National Laboratory for Physical Sciences at the Microscale and Department of Modern Physics, University of Science and Technology of China, Hefei, 230026, China; email: xrong@ustc.edu.cn","","Nature Partner Journals","20566387","","","","English","npj Quantum Inf.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85071744812"
"Mahmud N.; Macgillivray A.; Chaudhary M.; El-Araby E.","Mahmud, Naveed (57205023457); Macgillivray, Andrew (57216631959); Chaudhary, Manu (57215925460); El-Araby, Esam (8615346600)","57205023457; 57216631959; 57215925460; 8615346600","Decoherence-Optimized Circuits for Multidimensional and Multilevel-Decomposable Quantum Wavelet Transform","2022","IEEE Internet Computing","26","1","","15","25","10","3","10.1109/MIC.2021.3133845","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121351298&doi=10.1109%2fMIC.2021.3133845&partnerID=40&md5=a5585dc8884d52dfb40b9d87079c23ee","University of Kansas, Lawrence, 66045, KS, United States","Mahmud N., University of Kansas, Lawrence, 66045, KS, United States; Macgillivray A., University of Kansas, Lawrence, 66045, KS, United States; Chaudhary M., University of Kansas, Lawrence, 66045, KS, United States; El-Araby E., University of Kansas, Lawrence, 66045, KS, United States","Algorithms such as quantum wavelet transform (QWT) can be utilized on quantum processors to gain significant speedup compared to their classical counterparts. Domains such as high-energy-physics and remote-sensing hyperspectral imagery require high compute capabilities and can benefit from applying QWT for dimension reduction of multidimensional data. However, quantum circuits for QWT include permutations that contribute to large overall circuit depth. Deep circuits pose a critical challenge for state-of-the-art quantum computers because of quantum decoherence. In this work, we propose QWT circuits, which are optimized in terms of circuit depth, to account for the effects of decoherence, and resulting in high fidelity and efficient implementation on quantum processors. We present the circuits in generalized forms and show that they can be used for multilevel decomposable, multidimensional wavelet operations. Experimental evaluation of the proposed circuits is performed through simulation using MATLAB and IBM-Q qasm, and implemented on a real 15-qubit quantum processor from IBM. © 1997-2012 IEEE.","Quantum Computing; Quantum Wavelet Transform","Computation theory; Computer circuits; High energy physics; MATLAB; Program processors; Quantum computers; Remote sensing; Signal reconstruction; Spectroscopy; Timing circuits; Decoherence; Multi dimensional; Multilevels; Quantum circuit; Quantum Computing; Quantum computing, quantum wavelet transform; Quantum processors; Qubit; Wavelets transform; Discrete wavelet transforms","","","","","Institute of Electrical and Electronics Engineers Inc.","10897801","","IICOF","","English","IEEE Internet Comput","Article","Final","","Scopus","2-s2.0-85121351298"
"Acampora G.; Grossi M.; Vitiello A.","Acampora, Giovanni (9732839200); Grossi, Michele (57203555059); Vitiello, Autilia (36633662500)","9732839200; 57203555059; 36633662500","Genetic Algorithms based on Bhattacharyya Distance for Quantum Measurement Error Mitigation","2021","Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics","","","","3448","3453","5","1","10.1109/SMC52423.2021.9658897","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124265965&doi=10.1109%2fSMC52423.2021.9658897&partnerID=40&md5=36ca2deef260a7d1008085fbe7ebb0a4","University of Naples Federico II, Department of Physics 'Ettore Pancini', Naples, 80126, Italy; Università di Pavia, Sezione di Pavia, Dipartimento di Fisica and INFN, Pavia, 27100, Italy; University of Naples Federico II, Department of Physics 'Ettore Pancini', Naples, 80126, Italy; Istituto Nazionale di Fisica Nucleare, Sezione di Napoli, Naples, 80126, Italy","Acampora G., University of Naples Federico II, Department of Physics 'Ettore Pancini', Naples, 80126, Italy, Istituto Nazionale di Fisica Nucleare, Sezione di Napoli, Naples, 80126, Italy; Grossi M., Università di Pavia, Sezione di Pavia, Dipartimento di Fisica and INFN, Pavia, 27100, Italy; Vitiello A., University of Naples Federico II, Department of Physics 'Ettore Pancini', Naples, 80126, Italy","Quantum computing is a fascinating research area which promises a revolution in computing performance. Since the launch of the IBM Quantum Experience project in 2016, the research activities in this area are strongly increased. This project provides the public access to quantum processors composed of superconducting physical computing elements known as qubits. Unfortunately, qubits are sensitive to noise and, for this reason, quantum computation can be affected by errors. As a consequence, there is a strong emergence for so- called quantum error mitigation methods aimed to attenuate the quantum error as much as possible, without requiring a strong additional computational effort. Among the most error- prone operations, there is surely the quantum measurement. Conventionally, mitigation methods for quantum measurement error compute a so-called mitigation matrix capable of correcting results outputted by a quantum processor. In this paper, a new measurement error mitigation approach based on genetic algorithms whose fitness function uses Bhattacharyya distance is proposed to learn an appropriate mitigation matrix. As shown in the experimental session, the proposed measurement error mitigation method outperforms the traditional approach.  © 2021 IEEE.","","Matrix algebra; Measurement errors; Quantum optics; Qubits; Bhattacharyya distance; Computing performance; Error mitigation; matrix; Mitigation methods; Quantum Computing; Quantum error; Quantum measurement; Quantum processors; Research areas; Genetic algorithms","","","","","Institute of Electrical and Electronics Engineers Inc.","1062922X","978-166544207-7","PICYE","","English","Conf. Proc. IEEE Int. Conf. Syst. Man Cybern.","Conference paper","Final","","Scopus","2-s2.0-85124265965"
"Wu T.; Zhang W.; Guo J.","Wu, Tong (57201116701); Zhang, Wenrui (57998146700); Guo, Jing (57223120565)","57201116701; 57998146700; 57223120565","Performance Assessment of Quantum Processor Based on p-Type Semiconductor Quantum Dot Array","2022","Proceedings - 2022 IEEE International Conference on Quantum Computing and Engineering, QCE 2022","","","","833","835","2","0","10.1109/QCE53715.2022.00135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143642034&doi=10.1109%2fQCE53715.2022.00135&partnerID=40&md5=2d5261b9072365fbe561cb3524c6bbec","University of Florida, Department of Ece, Gainesville, 32611, FL, United States","Wu T., University of Florida, Department of Ece, Gainesville, 32611, FL, United States; Zhang W., University of Florida, Department of Ece, Gainesville, 32611, FL, United States; Guo J., University of Florida, Department of Ece, Gainesville, 32611, FL, United States","A multiscale simulation method is developed to model and assess silicon- and germanium-hole-based quantum dot (QD) arrays for quantum processors. The multiscale process takes a bottom-up approach, which integrates device-level simulations into quantum circuit simulations for semiconductor QD array processors. This process allows essential device physics to be incorporated in the assessment of quantum circuit performance for a Si- or Ge-QD- based quantum processor. The results show that the Ge hole array provides a promising semiconductor platform to enhance entanglement between neighboring QDs for two-qubit quantum gates. Furthermore, a two-qubit quantum gate based on holes in Ge can achieve fast gate speed, and smaller device variability compared to its Si counterpart. Design and multiscale simulation of the Ge QD array processor shows its potential to achieve high fidelity in preparing the ansatz state of quantum chemistry simulations based on variational quantum eigensolver. The bottom-up, multiscale method developed here can allow the physical design and assessment of semiconductor-QD-based quantum processors from the physical properties of quantum gate devices and their underlying material properties.  © 2022 IEEE.","multiscale simulation; quantum dot array; Semiconductor quantum computing","Circuit simulation; Germanium; Integrated circuit design; Logic gates; Nanocrystals; Quantum chemistry; Quantum efficiency; Quantum entanglement; Qubits; Silicon; Ge quantum dot; Multi-scale simulation; Quantum circuit; Quantum Computing; Quantum dot arrays; Quantum gates; Quantum processors; Semiconductor quantum computing; Semiconductor quantum dot arrays; Two-qubit; Semiconductor quantum dots","","","","","Institute of Electrical and Electronics Engineers Inc.","","978-166549113-6","","","English","Proc. - IEEE Int. Conf. Quantum Comput. Eng,., QCE","Conference paper","Final","","Scopus","2-s2.0-85143642034"
"","","","Proceedings of SPIE: Noise and information in nano electronics, sensors and standards II","2004","Proceedings of SPIE - The International Society for Optical Engineering","5472","","","","","455","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69349106873&partnerID=40&md5=73fb1962ce1db6e964948e1adb98927d","","","The proceedings contains 46 papers from the conference on Proceedings on SPIE: Noise and Information in Nanoelectronics, Sensors and Standards II. The topics discussed include: Quantum fluctuations and life; Coupled Josephson quantum bits; Mesoscopic Josephson junction as noise detector; Optical quantum control of localized spins in semiconductors; Quantum computing with qubits made from electrons on a helium film; Error rate in current-controlled logic processors with shot noise; Quantum clocks and the foundations of relativity; Single spin detection and noise spectroscopy.","","Atoms; Bandwidth; Channel capacity; Computer systems; Data processing; Electric potential; Electrons; Hamiltonians; Josephson junction devices; Magnetic fields; Nanostructured materials; Photons; Polarization; Probability; Semiconductor quantum dots; Shot noise; Decoherence; EiReV; Entanglement; Hyperfine interactions; Josephson junction; Mesoscopic Transport; Noise spectroscopy; Quantum computing; Quantum control; Quantum noise; Quantum theory","","","","","","0277786X","","PSISD","","English","Proc SPIE Int Soc Opt Eng","Conference review","Final","","Scopus","2-s2.0-69349106873"
"Fu X.; Rol M.A.; Bultink C.C.; Van Someren J.; Khammassi N.; Ashraf I.; Vermeulen R.F.L.; De Sterke J.C.; Vlothuizen W.J.; Schouten R.N.; Almudéver C.G.; DiCarlo L.; Bertels K.","Fu, X. (57190231155); Rol, M.A. (57189252403); Bultink, C.C. (55521043100); Van Someren, J. (57197718855); Khammassi, N. (55509195900); Ashraf, I. (57197658117); Vermeulen, R.F.L. (56927825900); De Sterke, J.C. (57191893451); Vlothuizen, W.J. (34868761800); Schouten, R.N. (7004844090); Almudéver, C.G. (57197722496); DiCarlo, L. (36090653600); Bertels, K. (6603628782)","57190231155; 57189252403; 55521043100; 57197718855; 55509195900; 57197658117; 56927825900; 57191893451; 34868761800; 7004844090; 57197722496; 36090653600; 6603628782","A Microarchitecture for a Superconducting Quantum Processor","2018","IEEE Micro","38","3","","40","47","7","25","10.1109/MM.2018.032271060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047015660&doi=10.1109%2fMM.2018.032271060&partnerID=40&md5=68fad64c6eb76dbaeccfe0827df640bb","QuTech, Delft University of Technology, Netherlands; Topic Embedded Systems, Netherlands; Netherlands Organization for Applied Scientific Research, Netherlands","Fu X., QuTech, Delft University of Technology, Netherlands; Rol M.A., QuTech, Delft University of Technology, Netherlands; Bultink C.C., QuTech, Delft University of Technology, Netherlands; Van Someren J., QuTech, Delft University of Technology, Netherlands; Khammassi N., QuTech, Delft University of Technology, Netherlands; Ashraf I., QuTech, Delft University of Technology, Netherlands; Vermeulen R.F.L., QuTech, Delft University of Technology, Netherlands; De Sterke J.C., Topic Embedded Systems, Netherlands; Vlothuizen W.J., Netherlands Organization for Applied Scientific Research, Netherlands; Schouten R.N., QuTech, Delft University of Technology, Netherlands; Almudéver C.G., QuTech, Delft University of Technology, Netherlands; DiCarlo L., QuTech, Delft University of Technology, Netherlands; Bertels K., QuTech, Delft University of Technology, Netherlands","This article proposes a quantum microarchitecture, QuMA. Flexible programmability of a quantum processor is achieved by multilevel instructions decoding, abstracting analog control into digital control, and translating instruction execution with non-deterministic timing into event trigger with precise timing. QuMA is validated by several single-qubit experiments on a superconducting qubit. © 2018 IEEE.","Emerging Technologies; Hardware; Quantum Computing","Computer hardware; Digital control systems; Quantum computers; Analog controls; Digital control; Emerging technologies; Micro architectures; Programmability; Quantum Computing; Quantum processors; Superconducting qubits; Computer architecture","ERC Synergy; Intel Corporation; U.S. Army Aeromedical Research Laboratory, (W911NF-16-1-0071); Office of the Director of National Intelligence; Intelligence Advanced Research Projects Activity; China Scholarship Council","A previous version of this article appears in the Proceedings of the 50th Annual IEEE/ACM International Symposium on Microarchitecture. We thank M. Tiggelman, S. Visser, J. Somers, L. Riesebos, E. Garrido Barrabés, and E. Charbon for contributions to an early version of the control box; H. Homulle for rendering Figure 1; and L. Lao, H.A. Du Nguyen, R. Versluis, and F.T. Chong for discussions. We acknowledge funding from the China Scholarship Council, Intel Corporation, an ERC Synergy Grant, and the Office of the Director of National Intelligence (ODNI), Intelligence Advanced Research Projects Activity (IARPA), via the U.S. Army Research Office grant W911NF-16-1-0071. The views and conclusions contained herein are those of the authors and should not be interpreted as necessarily representing the official policies or endorsements, either expressed or implied, of the ODNI, IARPA, or the U.S. Government. The U.S. Government is authorized to reproduce and distribute reprints for Governmental purposes notwithstanding any copyright annotation thereon.","","","IEEE Computer Society","02721732","","IEMID","","English","IEEE Micro","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85047015660"
"Chen S.","Chen, Shihua (27172143000)","27172143000","Properties of the two- and three-dimensional quantum dot qubit","2010","Journal of Semiconductors","31","5","","0520011","0520014","3","1","10.1088/1674-4926/31/5/052001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952923338&doi=10.1088%2f1674-4926%2f31%2f5%2f052001&partnerID=40&md5=2ffa2cd8451d9782057918e5e912a16e","College of Electrical Engineering, Huzhou Vocational Technology College, Huzhou 313000, China","Chen S., College of Electrical Engineering, Huzhou Vocational Technology College, Huzhou 313000, China","On the condition of electric-longitudinal-optical (LO) phonon strong coupling in both two- and three-dimensional parabolic quantum dots (QDs), we obtain the eigenenergies of the ground state (GS) and the first excited state (ES), the eigenfunctions of the GS and the first ES by using a variational method of Pekar type. This system in QD may be employed as a quantum system-quantum bit (qubit). When the electron is in the superposition state of the GS and the first ES, we obtain the time evolution of the electron density. The relations of both the electron probability density and the period of oscillation with the electric-LO phonon coupling strength and confinement length are discussed. © 2010 Chinese Institute of Electronics.","Quantum dot; Qubit; Strong coupling","Eigenvalues and eigenfunctions; Electrons; Optical waveguides; Phonons; Probability density function; Quantum optics; Semiconductor quantum dots; Three dimensional; Eigen function; Eigenenergies; Electron densities; First excited state; LO phonons; Longitudinal optical; Parabolic quantum dots; Period of oscillation; Probability densities; Quantum bit (qubit); Quantum Dot; Quantum system; Strong coupling; Superposition state; Time evolutions; Variational methods; Quantum theory","","","S. Chen; College of Electrical Engineering, Huzhou Vocational Technology College, Huzhou 313000, China; email: shihuachen@yahoo.com.cn","","","16744926","","","","English","J. Semicond.","Article","Final","","Scopus","2-s2.0-77952923338"
"Rarity J.G.","Rarity, J.G. (56034197700)","56034197700","Quantum cryptography and quantum computation","1996","Conference on Lasers and Electro-Optics Europe - Technical Digest","","","","36","","","0","10.1109/cleoe.1996.562017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029748391&doi=10.1109%2fcleoe.1996.562017&partnerID=40&md5=125b0513cef58c5b3826805e8265026d","Defence Research Agency, Malvern, United Kingdom","Rarity J.G., Defence Research Agency, Malvern, United Kingdom","This paper introduces the concept of quantum processing focusing on optical implementation. Bits are encoded interferometrically using the relative phase or polarisation of single photons. Dealing with quantum objects one sees that the quantum bit (qubit) is extended from the classical bit as it can be prepared in a superposition state of two orthogonal properties. Random number generation is also quite a natural for a quantum processor, optics requires a simple 50/50 beamsplitter with outputs labelled as '0' or '1'.","","Binary codes; Calculations; Coding errors; Cryptography; Encoding (symbols); Fiber optics; Interferometry; Light polarization; Optical beam splitters; Photons; Random number generation; Security of data; Fiber optic links; Heisenbergs uncertainty principle; Hilbert space of states; Polariser; Quantum cryptography; Quantum optics","","","","","","","","85PNA","","English","Conf Lasers Electro Opt Eur Tech Dig","Conference paper","Final","","Scopus","2-s2.0-0029748391"
"Oliveira R.D.; Bahrani S.; Arabul E.; Wang R.; Nejabati R.; Simeonidou D.","Oliveira, R.D. (56739954000); Bahrani, S. (56955442500); Arabul, E. (57202805967); Wang, R. (57208096192); Nejabati, R. (8723651100); Simeonidou, D. (12784155200)","56739954000; 56955442500; 57202805967; 57208096192; 8723651100; 12784155200","FPGA-based Deterministic and Low-Latency Control for Distributed Quantum Computing","2023","IEEE INFOCOM 2023 - Conference on Computer Communications Workshops, INFOCOM WKSHPS 2023","","","","","","","0","10.1109/INFOCOMWKSHPS57453.2023.10226129","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171617856&doi=10.1109%2fINFOCOMWKSHPS57453.2023.10226129&partnerID=40&md5=366350c1a74eb7db62cd9428fad2156d","University of Bristol, High Performance Networks Group, Bristol, United Kingdom","Oliveira R.D., University of Bristol, High Performance Networks Group, Bristol, United Kingdom; Bahrani S., University of Bristol, High Performance Networks Group, Bristol, United Kingdom; Arabul E., University of Bristol, High Performance Networks Group, Bristol, United Kingdom; Wang R., University of Bristol, High Performance Networks Group, Bristol, United Kingdom; Nejabati R., University of Bristol, High Performance Networks Group, Bristol, United Kingdom; Simeonidou D., University of Bristol, High Performance Networks Group, Bristol, United Kingdom","Distributed quantum computing is a promising solution for creating large-scale quantum computers. In such scenarios, quantum processing units (QPUs) are connected to each other via quantum and classical links. To increase the performance in such a distributed manner, and due to the fragile nature of quantum bits and their decoherence with time, the impact of classical links such as communication latency and jitter between QPUs shall be considered. Here, we propose a low-latency and time-deterministic FPGA-based network supporting execution of distributed quantum circuits. We focus on transmissions of measurement result and control messages as well as synchronization in a distributed network. We demonstrate that a message is transmitted with 361.60 ns between QPUs using optical Ethernet. Synchronization reaches 9.6 ns precision using only Ethernet frames and can reach 21 ps with an external clock. Further, a use-case example of an Inverse Quantum Fourier Transform is implemented to evaluate the impact in terms of latency for inter-QPU data transfers. Our theoretical error analysis and simulation results show that the latency added by our FPGA-controlled network has a negligible impact on the quantum algorithm performance for practical values of memory decoherence time.  © 2023 IEEE.","Distributed quantum computing; FPGA; FPGA control; Low latency network; Quantum algorithm","Data transfer; Distributed computer systems; Ethernet; Quantum computers; Quantum theory; Deterministics; Distributed quantum computing; FPGA control; Large scale quantum computers; Latency control; Low latency; Low-latency networks; Performance; Processing units; Quantum algorithms; Field programmable gate arrays (FPGA)","Quantum Data Centre of Future UKRI, (10004793); Engineering and Physical Sciences Research Council, EPSRC, (EP/T001011/1)","We acknowledge the funding support from the Quantum Communication Hub by the EPSRC grant ref. EP/T001011/1 and the Quantum Data Centre of Future UKRI project (10004793). These authors have contributed equally to this work: Romerson D. Oliveira, Sima Bahrani.","","","Institute of Electrical and Electronics Engineers Inc.","","978-166549427-4","","","English","IEEE INFOCOM - Conf. Comput. Commun. Workshops, INFOCOM WKSHPS","Conference paper","Final","","Scopus","2-s2.0-85171617856"
